planner,pair,samples,seed,success,time_s,len_m,ratio_vs_astar,min_clear_m,frac_unknown,n_occ_hits,error
custom_inflated,2,500,3,1,0.0142,8.64,0.964,0.25,0.0,0,
custom_strict,2,500,4,1,0.0153,8.442,0.964,0.05,0.0,0,
custom_inflated,2,500,4,1,0.0131,8.816,0.984,0.29,0.0,0,
custom_strict,2,500,5,1,0.016,8.403,0.96,0.05,0.0,0,
custom_inflated,2,500,5,1,0.0132,8.58,0.957,0.22,0.0,0,
custom_strict,2,1000,1,1,0.0229,8.489,0.969,0.05,0.0,0,
custom_inflated,2,1000,1,1,0.0184,8.638,0.964,0.22,0.0,0,
custom_strict,2,1000,2,1,0.0218,8.457,0.966,0.07,0.0,0,
custom_inflated,2,1000,2,1,0.0182,8.666,0.967,0.25,0.0,0,
custom_strict,2,1000,3,1,0.023,8.649,0.988,0.14,0.0,0,
custom_inflated,2,1000,3,1,0.0187,8.619,0.962,0.22,0.0,0,
custom_strict,2,1000,4,1,0.0237,8.394,0.959,0.07,0.0,0,
custom_inflated,2,1000,4,1,0.0202,8.624,0.962,0.22,0.0,0,
custom_strict,2,1000,5,1,0.0236,8.561,0.978,0.05,0.0,0,
custom_inflated,2,1000,5,1,0.0203,8.58,0.957,0.22,0.0,0,
custom_strict,2,2000,1,1,0.0361,8.382,0.957,0.05,0.0,0,
custom_inflated,2,2000,1,1,0.0277,8.568,0.956,0.21,0.0,0,
custom_strict,2,2000,2,1,0.0354,8.395,0.959,0.05,0.0,0,
custom_inflated,2,2000,2,1,0.0281,8.572,0.957,0.22,0.0,0,
custom_strict,2,2000,3,1,0.1145,8.513,0.972,0.1,0.0,0,
custom_inflated,2,2000,3,1,0.0533,8.599,0.96,0.21,0.0,0,
custom_strict,2,2000,4,1,0.0436,8.363,0.955,0.05,0.0,0,
custom_inflated,2,2000,4,1,0.0329,8.616,0.961,0.22,0.0,0,
custom_strict,2,2000,5,1,0.0445,8.554,0.977,0.1,0.0,0,
